"=""Протокол действий пользователя""";

"=""Выберите организацию""";"=""Эксплуатация ФСМЭВ""";
"=""Выберите пользователя""";"=""Бородин Дмитрий Юрьевич,Бородин Дмитрий Юрьевич,Бородин Дмитрий Юрьевич,Бородин Дмитрий Юрьевич,Бородин Дмитрий Юрьевич,Бородин Дмитрий Юрьевич,Бородин Дмитрий Юрьевич""";
"=""Выберите период формирования отчета с""";"=""01.05.2013 00:00:00""";
"=""по""";"=""01.06.2013 00:00:00""";
"=""Время генерации отчета""";"=""03.06.2013 13:44:26""";

"=""Тип объекта """;"=""Идентификатор объекта""";"=""Наименование объекта""";"=""Изменяемый атрибут объекта""";"=""Действие""";"=""Старое значение атрибута""";"=""Новое значение атрибута""";"=""Дата и время изменения""";"=""Пользователь""";
"=""Техпортал.Сервис""";"=""SID0005701:testSmevReg""";"=""Электронный сервис предоставления сведений о документе, подтверждающем принадлежность земельного участка к определенной категории земель""";"=""Паспорт:versionLast""";"=""Создание""";"=""""";"=""""";"=""06.05.2013 12:40:38""";"=""Бородин Дмитрий Юрьевич""";
"=""Техпортал.Сервис""";"=""SID0005701:testSmevReg""";"=""Электронный сервис предоставления сведений о документе, подтверждающем принадлежность земельного участка к определенной категории земель""";"=""Паспорт:testingComments""";"=""Создание""";"=""""";"=""""";"=""06.05.2013 12:40:38""";"=""Бородин Дмитрий Юрьевич""";
"=""Техпортал.Сервис""";"=""SID0005701:testSmevReg""";"=""Электронный сервис предоставления сведений о документе, подтверждающем принадлежность земельного участка к определенной категории земель""";"=""Паспорт:versionNumber""";"=""Создание""";"=""""";"=""1.00""";"=""06.05.2013 12:40:38""";"=""Бородин Дмитрий Юрьевич""";
"=""Техпортал.Сервис""";"=""SID0005701:testSmevReg""";"=""Электронный сервис предоставления сведений о документе, подтверждающем принадлежность земельного участка к определенной категории земель""";"=""Паспорт:srvAvail""";"=""Создание""";"=""""";"=""PBL""";"=""06.05.2013 12:40:38""";"=""Бородин Дмитрий Юрьевич""";
"=""Техпортал.Сервис""";"=""SID0005701:testSmevReg""";"=""Электронный сервис предоставления сведений о документе, подтверждающем принадлежность земельного участка к определенной категории земель""";"=""Паспорт:smevNode""";"=""Создание""";"=""""";"=""testSmevReg""";"=""06.05.2013 12:40:38""";"=""Бородин Дмитрий Юрьевич""";
"=""Техпортал.Сервис""";"=""SID0005701:testSmevReg""";"=""Электронный сервис предоставления сведений о документе, подтверждающем принадлежность земельного участка к определенной категории земель""";"=""Паспорт:reqJIRA""";"=""Создание""";"=""""";"=""""";"=""06.05.2013 12:40:39""";"=""Бородин Дмитрий Юрьевич""";
"=""Техпортал.Сервис""";"=""SID0005701:testSmevReg""";"=""Электронный сервис предоставления сведений о документе, подтверждающем принадлежность земельного участка к определенной категории земель""";"=""Паспорт:srvShort""";"=""Создание""";"=""""";"=""Сведения о принадлежности земельного участка к определенной категории земель""";"=""06.05.2013 12:40:39""";"=""Бородин Дмитрий Юрьевич""";
"=""Техпортал.Сервис""";"=""SID0005701:testSmevReg""";"=""Электронный сервис предоставления сведений о документе, подтверждающем принадлежность земельного участка к определенной категории земель""";"=""Паспорт:srvUrlDef""";"=""Создание""";"=""""";"=""http://doverie.oepak22.org/smev-server/service1058/""";"=""06.05.2013 12:40:39""";"=""Бородин Дмитрий Юрьевич""";
"=""Техпортал.Сервис""";"=""SID0005701:testSmevReg""";"=""Электронный сервис предоставления сведений о документе, подтверждающем принадлежность земельного участка к определенной категории земель""";"=""Паспорт:srvMnemonic""";"=""Создание""";"=""""";"=""""";"=""06.05.2013 12:40:39""";"=""Бородин Дмитрий Юрьевич""";
"=""Техпортал.Сервис""";"=""SID0005701:testSmevReg""";"=""Электронный сервис предоставления сведений о документе, подтверждающем принадлежность земельного участка к определенной категории земель""";"=""Паспорт:operDepartment""";"=""Создание""";"=""""";"=""Краевое государственное бюджетное учреждение «Оператор электронного правительства Алтайского края»""";"=""06.05.2013 12:40:39""";"=""Бородин Дмитрий Юрьевич""";
"=""Техпортал.Сервис""";"=""SID0005701:testSmevReg""";"=""Электронный сервис предоставления сведений о документе, подтверждающем принадлежность земельного участка к определенной категории земель""";"=""Паспорт:vizFIO""";"=""Создание""";"=""""";"=""""";"=""06.05.2013 12:40:39""";"=""Бородин Дмитрий Юрьевич""";
"=""Техпортал.Сервис""";"=""SID0005701:testSmevReg""";"=""Электронный сервис предоставления сведений о документе, подтверждающем принадлежность земельного участка к определенной категории земель""";"=""Паспорт:operResponsible""";"=""Создание""";"=""""";"=""Марков Федор Олегович""";"=""06.05.2013 12:40:39""";"=""Бородин Дмитрий Юрьевич""";
"=""Техпортал.Сервис""";"=""SID0005701:testSmevReg""";"=""Электронный сервис предоставления сведений о документе, подтверждающем принадлежность земельного участка к определенной категории земель""";"=""Паспорт:testingProtocol""";"=""Создание""";"=""""";"=""""";"=""06.05.2013 12:40:39""";"=""Бородин Дмитрий Юрьевич""";
"=""Техпортал.Сервис""";"=""SID0005701:testSmevReg""";"=""Электронный сервис предоставления сведений о документе, подтверждающем принадлежность земельного участка к определенной категории земель""";"=""Паспорт:wsdlUrl""";"=""Создание""";"=""""";"=""""";"=""06.05.2013 12:40:39""";"=""Бородин Дмитрий Юрьевич""";
"=""Техпортал.Сервис""";"=""SID0005701:testSmevReg""";"=""Электронный сервис предоставления сведений о документе, подтверждающем принадлежность земельного участка к определенной категории земель""";"=""Паспорт:srvGuide""";"=""Создание""";"=""""";"=""10568""";"=""06.05.2013 12:40:39""";"=""Бородин Дмитрий Юрьевич""";
"=""Техпортал.Сервис""";"=""SID0005701:testSmevReg""";"=""Электронный сервис предоставления сведений о документе, подтверждающем принадлежность земельного участка к определенной категории земель""";"=""Паспорт:respRole""";"=""Создание""";"=""""";"=""главный специалист по программированию""";"=""06.05.2013 12:40:39""";"=""Бородин Дмитрий Юрьевич""";
"=""Техпортал.Сервис""";"=""SID0005701:testSmevReg""";"=""Электронный сервис предоставления сведений о документе, подтверждающем принадлежность земельного участка к определенной категории земель""";"=""Паспорт:additionalInfo""";"=""Создание""";"=""""";"=""""";"=""06.05.2013 12:40:39""";"=""Бородин Дмитрий Юрьевич""";
"=""Техпортал.Сервис""";"=""SID0005701:testSmevReg""";"=""Электронный сервис предоставления сведений о документе, подтверждающем принадлежность земельного участка к определенной категории земель""";"=""Паспорт:smevUrl""";"=""Создание""";"=""""";"=""http://188.254.16.69:7777/gateway/services/SID0005701""";"=""06.05.2013 12:40:39""";"=""Бородин Дмитрий Юрьевич""";
"=""Техпортал.Сервис""";"=""SID0005701:testSmevReg""";"=""Электронный сервис предоставления сведений о документе, подтверждающем принадлежность земельного участка к определенной категории земель""";"=""Операция:CreateAffiliationRequest::Назначение""";"=""Создание""";"=""""";"=""Операция предназначена для передачи запроса на получение сведений о документе""";"=""06.05.2013 12:42:06""";"=""Бородин Дмитрий Юрьевич""";
"=""Техпортал.Сервис""";"=""SID0005701:testSmevReg""";"=""Электронный сервис предоставления сведений о документе, подтверждающем принадлежность земельного участка к определенной категории земель""";"=""Операция:CreateAffiliationRequest::Параметр:ОКТМО:I""";"=""Создание""";"=""""";"=""-""";"=""06.05.2013 12:42:06""";"=""Бородин Дмитрий Юрьевич""";
"=""Техпортал.Сервис""";"=""SID0005701:testSmevReg""";"=""Электронный сервис предоставления сведений о документе, подтверждающем принадлежность земельного участка к определенной категории земель""";"=""Операция:CreateAffiliationRequest::Параметр:Адрес земельного участка:I""";"=""Создание""";"=""""";"=""-""";"=""06.05.2013 12:42:06""";"=""Бородин Дмитрий Юрьевич""";
"=""Техпортал.Сервис""";"=""SID0005701:testSmevReg""";"=""Электронный сервис предоставления сведений о документе, подтверждающем принадлежность земельного участка к определенной категории земель""";"=""Операция:CreateAffiliationRequest::Параметр:Площадь земельного участка:I""";"=""Создание""";"=""""";"=""-""";"=""06.05.2013 12:42:06""";"=""Бородин Дмитрий Юрьевич""";
"=""Техпортал.Сервис""";"=""SID0005701:testSmevReg""";"=""Электронный сервис предоставления сведений о документе, подтверждающем принадлежность земельного участка к определенной категории земель""";"=""Операция:CreateAffiliationRequest::Имя""";"=""Создание""";"=""""";"=""Прием запроса на предоставление сведений""";"=""06.05.2013 12:42:06""";"=""Бородин Дмитрий Юрьевич""";
"=""Техпортал.Сервис""";"=""SID0005701:testSmevReg""";"=""Электронный сервис предоставления сведений о документе, подтверждающем принадлежность земельного участка к определенной категории земель""";"=""Операция:CreateAffiliationRequest::Параметр:Кадастровый номер:I""";"=""Создание""";"=""""";"=""-""";"=""06.05.2013 12:42:06""";"=""Бородин Дмитрий Юрьевич""";
"=""Техпортал.Сервис""";"=""SID0005701:testSmevReg""";"=""Электронный сервис предоставления сведений о документе, подтверждающем принадлежность земельного участка к определенной категории земель""";"=""Операция:CreateAffiliationRequest::Параметр:Регистрационный номер:O""";"=""Создание""";"=""""";"=""-""";"=""06.05.2013 12:42:06""";"=""Бородин Дмитрий Юрьевич""";
"=""Техпортал.Сервис""";"=""SID0005701:testSmevReg""";"=""Электронный сервис предоставления сведений о документе, подтверждающем принадлежность земельного участка к определенной категории земель""";"=""Операция:CreateAffiliationRequest:""";"=""Создание""";"=""""";"=""-""";"=""06.05.2013 12:42:06""";"=""Бородин Дмитрий Юрьевич""";
"=""Техпортал.Сервис""";"=""SID0005701:testSmevReg""";"=""Электронный сервис предоставления сведений о документе, подтверждающем принадлежность земельного участка к определенной категории земель""";"=""Паспорт:pingUrl""";"=""Удаление""";"=""""";"=""""";"=""06.05.2013 12:42:06""";"=""Бородин Дмитрий Юрьевич""";
"=""Техпортал.Сервис""";"=""SID0005701:testSmevReg""";"=""Электронный сервис предоставления сведений о документе, подтверждающем принадлежность земельного участка к определенной категории земель""";"=""Паспорт:hideInFrontend""";"=""Удаление""";"=""""";"=""""";"=""06.05.2013 12:42:06""";"=""Бородин Дмитрий Юрьевич""";
"=""Техпортал.Сервис""";"=""SID0005701:testSmevReg""";"=""Электронный сервис предоставления сведений о документе, подтверждающем принадлежность земельного участка к определенной категории земель""";"=""Паспорт:ownerOrgName""";"=""Удаление""";"=""1602""";"=""""";"=""06.05.2013 12:42:06""";"=""Бородин Дмитрий Юрьевич""";
"=""Техпортал.Сервис""";"=""SID0005701:testSmevReg""";"=""Электронный сервис предоставления сведений о документе, подтверждающем принадлежность земельного участка к определенной категории земель""";"=""Операция:GetAffiliationResult:""";"=""Создание""";"=""""";"=""-""";"=""06.05.2013 12:44:15""";"=""Бородин Дмитрий Юрьевич""";
"=""Техпортал.Сервис""";"=""SID0005701:testSmevReg""";"=""Электронный сервис предоставления сведений о документе, подтверждающем принадлежность земельного участка к определенной категории земель""";"=""Операция:GetAffiliationResult::Имя""";"=""Создание""";"=""""";"=""Получение сведений о статусе запроса и ответа на запрос""";"=""06.05.2013 12:44:15""";"=""Бородин Дмитрий Юрьевич""";
"=""Техпортал.Сервис""";"=""SID0005701:testSmevReg""";"=""Электронный сервис предоставления сведений о документе, подтверждающем принадлежность земельного участка к определенной категории земель""";"=""Операция:GetAffiliationResult::Параметр:Реквизиты документа:O""";"=""Создание""";"=""""";"=""-""";"=""06.05.2013 12:44:15""";"=""Бородин Дмитрий Юрьевич""";
"=""Техпортал.Сервис""";"=""SID0005701:testSmevReg""";"=""Электронный сервис предоставления сведений о документе, подтверждающем принадлежность земельного участка к определенной категории земель""";"=""Операция:GetAffiliationResult::Параметр:Наименование уполномоченного органа, осуществляющегох выдачу документа:O""";"=""Создание""";"=""""";"=""-""";"=""06.05.2013 12:44:15""";"=""Бородин Дмитрий Юрьевич""";
"=""Техпортал.Сервис""";"=""SID0005701:testSmevReg""";"=""Электронный сервис предоставления сведений о документе, подтверждающем принадлежность земельного участка к определенной категории земель""";"=""Операция:GetAffiliationResult::Параметр:Категория земель:O""";"=""Создание""";"=""""";"=""-""";"=""06.05.2013 12:44:15""";"=""Бородин Дмитрий Юрьевич""";
"=""Техпортал.Сервис""";"=""SID0005701:testSmevReg""";"=""Электронный сервис предоставления сведений о документе, подтверждающем принадлежность земельного участка к определенной категории земель""";"=""Доступ:Полный:VSE_VEDOMSTVA:VSE_VEDOMSTVA01::GetAffiliationResult; CreateAffiliationRequest;:false:true""";"=""Создание""";"=""""";"=""-""";"=""06.05.2013 12:44:15""";"=""Бородин Дмитрий Юрьевич""";
"=""Техпортал.Сервис""";"=""SID0005701:testSmevReg""";"=""Электронный сервис предоставления сведений о документе, подтверждающем принадлежность земельного участка к определенной категории земель""";"=""Операция:GetAffiliationResult::Назначение""";"=""Создание""";"=""""";"=""Операция предназначена для получения сведений о статусе запроса и ответа на запрос в случае его готовности""";"=""06.05.2013 12:44:15""";"=""Бородин Дмитрий Юрьевич""";
"=""Техпортал.Сервис""";"=""SID0005701:testSmevReg""";"=""Электронный сервис предоставления сведений о документе, подтверждающем принадлежность земельного участка к определенной категории земель""";"=""Операция:GetAffiliationResult::Параметр:Регистрационный номер:I""";"=""Создание""";"=""""";"=""-""";"=""06.05.2013 12:44:15""";"=""Бородин Дмитрий Юрьевич""";
"=""Техпортал.Сервис""";"=""SID0005701:testSmevReg""";"=""Электронный сервис предоставления сведений о документе, подтверждающем принадлежность земельного участка к определенной категории земель""";"=""Операция:GetAffiliationResult::Параметр:Кадастровый номер:O""";"=""Создание""";"=""""";"=""-""";"=""06.05.2013 12:44:15""";"=""Бородин Дмитрий Юрьевич""";
"=""Техпортал.Сервис""";"=""SID0005701:testSmevReg""";"=""Электронный сервис предоставления сведений о документе, подтверждающем принадлежность земельного участка к определенной категории земель""";"=""Операция:GetAffiliationResult::Параметр:Адрес земельного участка:O""";"=""Создание""";"=""""";"=""-""";"=""06.05.2013 12:44:15""";"=""Бородин Дмитрий Юрьевич""";
"=""Техпортал.Сервис""";"=""SID0005701:testSmevReg""";"=""Электронный сервис предоставления сведений о документе, подтверждающем принадлежность земельного участка к определенной категории земель""";"=""Операция:GetAffiliationResult::Параметр:Площадь земельного участка:O""";"=""Создание""";"=""""";"=""-""";"=""06.05.2013 12:44:15""";"=""Бородин Дмитрий Юрьевич""";
"=""Техпортал.Сервис""";"=""SID0005701:testSmevReg""";"=""Электронный сервис предоставления сведений о документе, подтверждающем принадлежность земельного участка к определенной категории земель""";"=""Паспорт:pingUrl""";"=""Удаление""";"=""""";"=""""";"=""06.05.2013 12:44:15""";"=""Бородин Дмитрий Юрьевич""";
"=""Техпортал.Сервис""";"=""SID0005701:testSmevReg""";"=""Электронный сервис предоставления сведений о документе, подтверждающем принадлежность земельного участка к определенной категории земель""";"=""Паспорт:ownerOrgName""";"=""Удаление""";"=""1602""";"=""""";"=""06.05.2013 12:44:15""";"=""Бородин Дмитрий Юрьевич""";
"=""Техпортал.Сервис""";"=""SID0005701:testSmevReg""";"=""Электронный сервис предоставления сведений о документе, подтверждающем принадлежность земельного участка к определенной категории земель""";"=""Паспорт:hideInFrontend""";"=""Удаление""";"=""""";"=""""";"=""06.05.2013 12:44:15""";"=""Бородин Дмитрий Юрьевич""";
"=""Техпортал.Новость""";"=""5064876""";"=""Зарегистрирован новый сервис SID0005701 в ТСМЭВ""";"=""Время""";"=""Создание""";"=""""";"=""Mon May 06 13:48:00 MSK 2013""";"=""06.05.2013 12:47:13""";"=""Бородин Дмитрий Юрьевич""";
"=""Техпортал.Новость""";"=""5064876""";"=""Зарегистрирован новый сервис SID0005701 в ТСМЭВ""";"=""Текст новости""";"=""Создание""";"=""""";"Зарегистрирован новый тестовый сервис Краевого государственного бюджетного учреждения Оператор электронного правительства Алтайского края ""Сведения о принадлежности земельного участка к определенной категории земель""<br>Адрес сервиса: http://188.254.16.69:7777/gateway/services/SID0005701<br>Адрес WSDL сервиса: http://188.254.16.69:7777/gateway/services/SID0005701?wsdl";"=""06.05.2013 12:47:13""";"=""Бородин Дмитрий Юрьевич""";
"=""Техпортал.Новость""";"=""5064876""";"=""Зарегистрирован новый сервис SID0005701 в ТСМЭВ""";"=""Заголовок""";"=""Создание""";"=""""";"=""Зарегистрирован новый сервис SID0005701 в ТСМЭВ""";"=""06.05.2013 12:47:13""";"=""Бородин Дмитрий Юрьевич""";
"=""Техпортал.Новость""";"=""5064876""";"=""Зарегистрирован новый сервис SID0005701 в ТСМЭВ""";"=""Категория""";"=""Создание""";"=""""";"=""RTS""";"=""06.05.2013 12:47:13""";"=""Бородин Дмитрий Юрьевич""";
"=""Техпортал.Новость""";"=""5064876""";"=""Зарегистрирован новый сервис SID0005701 в ТСМЭВ""";"=""Узел""";"=""Создание""";"=""""";"=""p00smev""";"=""06.05.2013 12:47:13""";"=""Бородин Дмитрий Юрьевич""";
"=""Техпортал.Новость""";"=""5064876""";"=""Зарегистрирован новый сервис SID0005701 в ТСМЭВ""";"=""Статус""";"=""Создание""";"=""""";"=""A""";"=""06.05.2013 12:47:13""";"=""Бородин Дмитрий Юрьевич""";
"=""Техпортал.Файл""";"=""10572""";"=""Руководство пользователя""";"=""-""";"=""Создание""";"=""-""";"=""-""";"=""07.05.2013 09:39:53""";"=""Бородин Дмитрий Юрьевич""";
"=""Техпортал.Файл""";"=""10572""";"=""Руководство пользователя""";"=""Тип файла""";"=""Создание""";"=""-""";"=""zip""";"=""07.05.2013 09:39:54""";"=""Бородин Дмитрий Юрьевич""";
"=""Техпортал.Файл""";"=""10572""";"=""Руководство пользователя""";"=""Mime тип файла""";"=""Создание""";"=""-""";"=""application/zip""";"=""07.05.2013 09:39:54""";"=""Бородин Дмитрий Юрьевич""";
"=""Техпортал.Файл""";"=""10572""";"=""Руководство пользователя""";"=""Имя файла""";"=""Создание""";"=""-""";"=""Руководство пользователя""";"=""07.05.2013 09:39:54""";"=""Бородин Дмитрий Юрьевич""";
"=""Техпортал.Файл""";"=""10572""";"=""Руководство пользователя""";"=""Номер""";"=""Создание""";"=""-""";"=""10572""";"=""07.05.2013 09:39:54""";"=""Бородин Дмитрий Юрьевич""";
"=""Техпортал.Сервис""";"=""SID0005698:testSmevReg""";"=""Электронный сервис системы учета начислений и платежей""";"=""Паспорт:srvWorktime""";"=""Создание""";"=""""";"=""24 / 365""";"=""07.05.2013 09:41:25""";"=""Бородин Дмитрий Юрьевич""";
"=""Техпортал.Сервис""";"=""SID0005698:testSmevReg""";"=""Электронный сервис системы учета начислений и платежей""";"=""Паспорт:versionLast""";"=""Создание""";"=""""";"=""""";"=""07.05.2013 09:41:25""";"=""Бородин Дмитрий Юрьевич""";
"=""Техпортал.Сервис""";"=""SID0005698:testSmevReg""";"=""Электронный сервис системы учета начислений и платежей""";"=""Паспорт:respPhone""";"=""Создание""";"=""""";"=""8 (8652) 55-42-48""";"=""07.05.2013 09:41:25""";"=""Бородин Дмитрий Юрьевич""";
